               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088591,            0.017821,            0.015693,              0.6124,             0.73463,             0.65647,              0.1566,            0.068622,             0.01338,           0.0025878,           0.0033203,           0.0033203,            0.070118
                   1,            0.060997,            0.011649,           0.0047749,             0.93527,             0.91818,             0.94679,             0.47138,            0.053141,            0.010327,           0.0027076,            0.006434,            0.006434,            0.039898
                   2,            0.054826,           0.0095936,             0.00369,             0.96319,             0.92069,             0.96394,             0.41318,            0.051967,           0.0093607,           0.0022681,           0.0093278,           0.0093278,           0.0094585
                   3,            0.046633,           0.0087283,           0.0030529,             0.98576,             0.97398,             0.98906,             0.57801,            0.031317,           0.0081779,           0.0015875,             0.00901,             0.00901,             0.00901
                   4,             0.04073,           0.0084945,           0.0023597,             0.97628,             0.97622,             0.97906,             0.53458,            0.039664,           0.0072668,            0.001546,             0.00901,             0.00901,             0.00901
                   5,            0.036455,           0.0080908,           0.0018348,             0.98348,              0.9881,              0.9928,             0.68228,            0.030842,           0.0071086,           0.0012078,             0.00868,             0.00868,             0.00868
                   6,            0.034414,           0.0075862,           0.0017855,             0.99003,             0.98787,             0.99354,             0.67567,            0.025554,           0.0068251,           0.0011411,             0.00835,             0.00835,             0.00835
                   7,            0.032846,           0.0073768,             0.00177,                0.99,             0.97997,             0.99071,             0.72299,            0.025779,            0.006228,           0.0010165,             0.00802,             0.00802,             0.00802
                   8,            0.031535,           0.0073062,           0.0015552,             0.98475,             0.98709,             0.98876,             0.70679,            0.024513,           0.0063932,          0.00098685,             0.00769,             0.00769,             0.00769
                   9,             0.02992,           0.0071805,           0.0014116,             0.99684,             0.98493,             0.99396,             0.68237,            0.025233,           0.0062322,           0.0009041,             0.00736,             0.00736,             0.00736
                  10,            0.028833,           0.0069669,           0.0013359,              0.9924,             0.98552,             0.99244,             0.72908,            0.023475,            0.006411,          0.00079617,             0.00703,             0.00703,             0.00703
                  11,            0.027198,           0.0067315,           0.0012199,             0.99299,             0.98529,             0.99365,             0.69457,            0.024157,           0.0061744,          0.00076341,              0.0067,              0.0067,              0.0067
                  12,            0.026773,           0.0066842,           0.0011494,             0.99739,             0.98492,             0.99466,             0.73544,            0.023158,           0.0057789,          0.00070443,             0.00637,             0.00637,             0.00637
                  13,            0.026044,           0.0065561,           0.0011737,             0.98973,             0.99457,             0.99459,             0.73635,            0.021042,           0.0059428,          0.00071975,             0.00604,             0.00604,             0.00604
                  14,            0.025538,           0.0064769,           0.0010934,             0.98867,             0.99516,             0.99452,             0.74238,            0.021398,            0.005756,          0.00069782,             0.00571,             0.00571,             0.00571
                  15,            0.024819,           0.0063289,          0.00099932,             0.99745,             0.98458,              0.9946,             0.70461,            0.022452,           0.0060367,           0.0006201,             0.00538,             0.00538,             0.00538
                  16,            0.024175,           0.0062725,           0.0010032,             0.99642,             0.99245,             0.99491,             0.76639,            0.020436,           0.0056439,          0.00058345,             0.00505,             0.00505,             0.00505
                  17,              0.0233,            0.006189,          0.00088572,             0.99484,             0.99756,             0.99499,              0.7557,            0.019529,           0.0055765,          0.00059218,             0.00472,             0.00472,             0.00472
                  18,            0.023076,           0.0061902,          0.00088776,             0.99495,             0.99103,             0.99476,             0.79096,             0.01943,            0.005342,          0.00055784,             0.00439,             0.00439,             0.00439
                  19,            0.022202,           0.0060559,          0.00083202,             0.99823,             0.99522,             0.99459,             0.76547,            0.018923,           0.0053741,          0.00053073,             0.00406,             0.00406,             0.00406
                  20,            0.022349,           0.0060928,          0.00082946,             0.99704,             0.99479,             0.99498,             0.78778,            0.018983,           0.0053435,          0.00051934,             0.00373,             0.00373,             0.00373
                  21,             0.02187,           0.0059449,          0.00080302,             0.99752,             0.99457,             0.99472,             0.77463,             0.01911,           0.0052969,           0.0005102,              0.0034,              0.0034,              0.0034
                  22,            0.021344,           0.0059439,          0.00073486,             0.99761,             0.99213,             0.99497,             0.78642,            0.017988,           0.0051437,          0.00047137,             0.00307,             0.00307,             0.00307
                  23,            0.020606,           0.0059271,          0.00067238,             0.99613,             0.99309,             0.99498,             0.79444,            0.018145,            0.005188,          0.00050602,             0.00274,             0.00274,             0.00274
                  24,            0.020262,           0.0057805,          0.00064285,             0.99629,             0.99273,             0.99456,             0.79154,            0.017469,           0.0051855,          0.00049682,             0.00241,             0.00241,             0.00241
                  25,            0.019784,            0.005807,          0.00061557,             0.99314,             0.99774,             0.99485,             0.78028,            0.017157,           0.0050172,          0.00041895,             0.00208,             0.00208,             0.00208
                  26,            0.019976,           0.0057167,          0.00065985,             0.99738,             0.99313,             0.99496,             0.80835,            0.016407,           0.0049579,          0.00040797,             0.00175,             0.00175,             0.00175
                  27,            0.019449,           0.0057747,          0.00065319,              0.9953,             0.99429,             0.99471,             0.80077,            0.017043,           0.0050872,          0.00039639,             0.00142,             0.00142,             0.00142
                  28,             0.01899,           0.0056791,          0.00053656,             0.99773,             0.99156,             0.99468,             0.80832,            0.016883,           0.0050619,          0.00037675,             0.00109,             0.00109,             0.00109
                  29,            0.018626,           0.0056373,          0.00057452,             0.99375,             0.99817,             0.99498,             0.81103,             0.01659,           0.0049558,           0.0003816,             0.00076,             0.00076,             0.00076
